epoch,store_rss_kb,store_cpu_ticks,server_rss_kb,server_cpu_ticks,storage_kb,sys_idle_ticks,sys_total_ticks
1789218722,909160,2132,0,0,246740,639827312,641091119
1789218732,884468,2162,0,0,246792,639835286,641099136
1789218742,1078632,2783,0,0,250660,639842556,641106996
1789218752,1305148,4895,0,0,294260,639847648,641113764
1789218762,1459400,6741,0,0,344996,639852955,641120604
1789218772,1592024,8391,0,0,400652,639858474,641127485
1789218782,1727224,10101,0,0,454480,639863901,641134298
1789218792,1822180,11791,0,0,511588,639869344,641141154
1789218802,1974560,13616,0,0,565444,639874628,641147901
1789218812,2087932,15394,0,0,618196,639879929,641154593
1789218822,2218588,17014,0,0,675392,639885433,641161501
1789218832,2356528,18682,0,0,730980,639890892,641168324
1789218842,2492460,20364,0,0,785348,639896318,641175112
1789218852,2620940,22071,0,0,842324,639901709,641181877
1789218862,2764020,23825,0,0,899496,639907072,641188661
1789218872,2901868,25434,0,0,957584,639912570,641195484
1789218882,3034072,27062,0,0,1016344,639918040,641202227
1789218892,3168888,28766,0,0,1074664,639923427,641208926
1789218902,3303548,30530,0,0,1130532,639928729,641215626
1789218913,3439524,32239,0,0,1188884,639934122,641222407
1789218923,3579504,33930,0,0,1247824,639939529,641229222
1789218933,3704284,35691,0,0,1305396,639944828,641235915
1789218943,3844184,37405,0,0,1363756,639950217,641242731
1789218953,3976108,39162,0,0,1420260,639955519,641249400
1789218963,4124628,40888,0,0,1479024,639960880,641256196
1789218973,4257172,42519,0,0,1539940,639966376,641263057
1789218983,4396248,44185,0,0,1597980,639971759,641269782
1789218993,4528500,45779,0,0,1657540,639977320,641276662
1789219003,4669676,47410,0,0,1717788,639982789,641283508
1789219013,4805572,49097,0,0,1784284,639988194,641290257
1789219023,4949584,50741,0,0,1846396,639993637,641297117
1789219033,5085932,52429,0,0,1932040,639999064,641304009
1789219043,5214640,54167,0,0,1988784,640004396,641310731
1789219053,5358880,55833,0,0,2065776,640009821,641317534
1789219063,5484992,57582,0,0,2121352,640015158,641324274
1789219073,5620272,59271,0,0,2198124,640020525,641331010
1789219083,5748244,60927,0,0,2255948,640025950,641337788
1789219093,5887648,62656,0,0,2321452,640031251,641344433
1789219103,6015280,64210,0,0,2378824,640036827,641351208
1789219113,6148200,65806,0,0,2437460,640042339,641358027
1789219123,6292464,67425,0,0,2497144,640047786,641364793
1789219133,6422684,69108,0,0,2554432,640053190,641371613
1789219143,6555740,70747,0,0,2621712,640058701,641378485
1789219153,6686992,72443,0,0,2678672,640064069,641385173
1789219163,6795924,73686,0,0,2725548,640070132,641392298
1789219173,6795932,73694,0,0,2725548,640078129,641400312
1789219184,6795948,73702,0,0,2725548,640086123,641408322
1789219194,6795948,73709,0,0,2725548,640094121,641416338
1789219204,6795948,73717,0,0,2725548,640102116,641424350
1789219214,6795956,73726,0,0,2725548,640110113,641432359
1789219224,6795972,73734,0,0,2725548,640118111,641440375
1789219234,6795972,73742,0,0,2725548,640126100,641448377
1789219244,6795976,73752,0,0,2725548,640134089,641456383
1789219254,6795976,73760,0,0,2725548,640142087,641464395
1789219264,6796064,73769,0,0,2725548,640150074,641472399
