epoch,store_rss_kb,store_cpu_ticks,server_rss_kb,server_cpu_ticks,storage_kb,sys_idle_ticks,sys_total_ticks
1789214657,958660,2169,0,0,246740,637098926,638087321
1789214667,953960,2191,0,0,246792,637106914,638095336
1789214677,1055032,2842,0,0,248064,637114120,638103129
1789214687,1281732,4530,0,0,249552,637119800,638110212
1789214697,1432668,5762,0,0,359260,637125980,638117425
1789214707,1525680,6930,0,0,360992,637132215,638124609
1789214717,1604244,8037,0,0,585600,637138508,638131841
1789214727,1679704,9254,0,0,587456,637144664,638139043
1789214737,1723188,10342,0,0,697404,637150963,638146261
1789214747,1817320,11409,0,0,699348,637157300,638153518
1789214757,1851120,12526,0,0,923996,637163543,638160742
1789214767,1905092,13632,0,0,979844,637169802,638167947
1789214777,1984276,14718,0,0,1035756,637176113,638175193
1789214788,2085744,15893,0,0,1260352,637182289,638182376
1789214798,2131732,16992,0,0,1262072,637188581,638189610
1789214808,2185128,18090,0,0,1372000,637194888,638196881
1789214818,2269632,19198,0,0,1429584,637201177,638204146
1789214828,2302572,20253,0,0,1598560,637207532,638211464
1789214838,2370612,21222,0,0,1699444,637213945,638218731
1789214848,2452664,22180,0,0,1710340,637220444,638226091
1789214858,2494464,23250,0,0,1934800,637226734,638233294
1789214868,2528156,24282,0,0,1963640,637233079,638240499
1789214878,2608096,25326,0,0,2046724,637239447,638247778
1789214888,2676936,26419,0,0,2234232,637245712,638255001
1789214898,2729436,27438,0,0,2273152,637252103,638262258
1789214908,2788504,28498,0,0,2383084,637258447,638269513
1789214918,2864528,29551,0,0,2421776,637264800,638276732
1789214928,2910308,30656,0,0,2609244,637271079,638283979
1789214938,2953384,31717,0,0,2683184,637277437,638291306
1789214948,3039372,32777,0,0,2721104,637283786,638298568
1789214958,3087896,33874,0,0,2908460,637290074,638305799
1789214968,3087712,34334,0,0,2946532,637297359,638313490
1789214978,3087712,34342,0,0,2946532,637305358,638321499
1789214988,3087712,34349,0,0,2946528,637313361,638329512
1789214998,3087720,34357,0,0,2946528,637321360,638337523
1789215008,3087800,34365,0,0,2946528,637329362,638345535
1789215018,3087808,34372,0,0,2946528,637337361,638353545
1789215028,3087816,34382,0,0,2946528,637345359,638361554
1789215038,3087824,34391,0,0,2946528,637353357,638369563
1789215048,3083196,34399,0,0,2946528,637361346,638377561
