epoch,store_rss_kb,store_cpu_ticks,server_rss_kb,server_cpu_ticks,storage_kb,sys_idle_ticks,sys_total_ticks
1789210724,938512,2086,0,0,246720,634193399,635079523
1789210729,933236,2094,0,0,246756,634197402,635083539
1789210734,931716,2107,0,0,246792,634201399,635087550
1789210739,929724,2128,0,0,246836,634205394,635091565
1789210744,984180,2396,0,0,247428,634209100,635095545
1789210749,1135712,3092,0,0,266400,634212168,635099234
1789210754,1253260,4047,0,0,286516,634214919,635102818
1789210759,1329388,4737,0,0,309148,634217913,635106416
1789210764,1406196,5397,0,0,336840,634220981,635110119
1789210769,1464508,6102,0,0,360688,634223962,635113681
1789210775,1491704,6256,0,0,367124,634227746,635117595
1789210780,1491736,6261,0,0,367172,634231753,635121609
1789210785,1485260,6269,0,0,367200,634235756,635125623
1789210790,1485168,6273,0,0,367248,634239762,635129638
1789210795,1463868,6285,0,0,367296,634243759,635133651
1789210800,1463880,6290,0,0,367296,634247766,635137663
1789210805,1451388,6297,0,0,367296,634251768,635141680
1789210810,1451400,6301,0,0,367296,634255776,635145695
1789210815,1456832,6312,0,0,367296,634259776,635149708
1789210820,1456844,6316,0,0,367296,634263785,635153723
1789210825,1457676,6325,0,0,367296,634267788,635157740
1789210830,1457680,6329,0,0,367296,634271797,635161756
