epoch,store_rss_kb,store_cpu_ticks,server_rss_kb,server_cpu_ticks,storage_kb,sys_idle_ticks,sys_total_ticks
1789210435,937632,2162,0,0,246720,633969156,634850119
1789210440,937748,2169,0,0,246760,633973160,634854135
1789210445,919444,2183,0,0,246792,633977160,634858155
1789210451,944384,2221,0,0,247320,633981130,634862166
1789210456,1022096,2669,0,0,247988,633984590,634866028
1789210461,1145204,3578,0,0,248548,633987403,634869606
1789210466,1266888,4398,0,0,249484,633990389,634873369
1789210471,1338524,4988,0,0,250368,633993565,634877064
1789210476,1362548,5163,0,0,250584,633997308,634880960
1789210481,1362556,5168,0,0,250604,634001319,634884978
1789210486,1365756,5175,0,0,250656,634005321,634888996
1789210491,1352236,5180,0,0,250700,634009328,634893007
1789210496,1358024,5191,0,0,250728,634013330,634897023
1789210501,1358040,5195,0,0,250776,634017338,634901040
1789210506,1351868,5205,0,0,250824,634021339,634905052
1789210511,1351872,5210,0,0,250824,634025345,634909067
1789210516,1352532,5222,0,0,250824,634029344,634913079
1789210521,1352544,5225,0,0,250824,634033350,634917091
1789210526,1353424,5232,0,0,250824,634037356,634921106
1789210531,1353432,5236,0,0,250824,634041364,634925120
