epoch,store_rss_kb,store_cpu_ticks,server_rss_kb,server_cpu_ticks,storage_kb,sys_idle_ticks,sys_total_ticks
1789217126,930008,2169,0,0,246720,638798218,639973727
1789217136,934564,2192,0,0,246792,638806198,639981736
1789217146,1026212,2586,0,0,247556,638813758,639989680
1789217156,1340820,4499,0,0,311732,638819285,639996765
1789217166,1555320,6175,0,0,403220,638824911,640003795
1789217176,1781768,7808,0,0,495372,638830583,640010798
1789217186,1993664,9442,0,0,592924,638836213,640017777
1789217196,2207692,11052,0,0,687208,638841855,640024757
1789217206,2416084,12545,0,0,788696,638847652,640031759
1789217216,2617012,14058,0,0,893648,638853413,640038799
1789217226,2830588,15827,0,0,987360,638858844,640045679
1789217236,3060896,17341,0,0,1091228,638864584,640052696
1789217246,3281780,18928,0,0,1195148,638870221,640059674
1789217256,3499776,20482,0,0,1297340,638875923,640066620
1789217266,3740244,21957,0,0,1406280,638881715,640073643
1789217276,3954452,23490,0,0,1508284,638887436,640080598
1789217286,4045556,24161,0,0,1553336,638894445,640088127
1789217296,4046244,24170,0,0,1553336,638902440,640096134
1789217306,4025164,24181,0,0,1553336,638910437,640104146
1789217316,4027980,24190,0,0,1553336,638918431,640112153
1789217326,4028688,24198,0,0,1553336,638926427,640120159
1789217336,4033792,24213,0,0,1553336,638934416,640128168
1789217346,4031356,24224,0,0,1553336,638942408,640136175
