epoch,store_rss_kb,store_cpu_ticks,server_rss_kb,server_cpu_ticks,storage_kb,sys_idle_ticks,sys_total_ticks
1789217579,1240692,2136,0,0,226020,639124496,640322113
1789217589,1228960,2249,0,0,226100,639132379,640330110
1789217599,1358840,2873,0,0,253760,639139662,640337997
1789217609,1688968,5247,0,0,332964,639144650,640344843
1789217620,2017684,7780,0,0,453272,639149247,640351397
1789217630,2298416,10097,0,0,587468,639154003,640357906
1789217640,2583012,12270,0,0,719124,639158896,640364382
1789217650,2912340,14495,0,0,866656,639163743,640370981
1789217660,3209964,16564,0,0,1009916,639168740,640377519
1789217670,3534180,18566,0,0,1162616,639173813,640384160
1789217680,3844088,20607,0,0,1311816,639178810,640390796
1789217690,4140388,22804,0,0,1450156,639183697,640397296
1789217700,4461648,24949,0,0,1600296,639188594,640403860
1789217710,4775508,27089,0,0,1748064,639193489,640410421
1789217720,5096308,29124,0,0,1901424,639198491,640416972
1789217730,5433512,31182,0,0,2057532,639203479,640423513
1789217740,5745700,33249,0,0,2211992,639208440,640430109
1789217750,6075204,35314,0,0,2373496,639213439,640436765
1789217760,6342836,37005,0,0,2497096,639218945,640443573
1789217770,6343632,37039,0,0,2497096,639226908,640451576
1789217780,6341824,37072,0,0,2497096,639234873,640459585
1789217790,6340780,37103,0,0,2497096,639242842,640467600
1789217800,6341612,37132,0,0,2497096,639250816,640475608
1789217810,6342328,37166,0,0,2497096,639258785,640483623
1789217820,6341572,37200,0,0,2497096,639266748,640491624
1789217830,6355188,37273,0,0,2497096,639274670,640499624
