LAST SEEN   TYPE      REASON      OBJECT                                 MESSAGE
52m         Normal    Created     pod/hugegraph-store-0                  Container created
52m         Normal    Started     pod/hugegraph-store-0                  Container started
46m         Normal    Pulled      pod/hugegraph-store-0                  Successfully pulled image "hugegraph/store:latest" in 657ms (657ms including waiting). Image size: 397172146 bytes.
27m         Normal    Pulled      pod/hugegraph-store-0                  Successfully pulled image "hugegraph/store:latest" in 666ms (666ms including waiting). Image size: 397172146 bytes.
27m         Warning   Unhealthy   pod/hugegraph-store-0                  Startup probe failed: Get "http://10.42.3.60:8520/v1/health": dial tcp 10.42.3.60:8520: connect: connection refused
11m         Normal    Pulled      pod/hugegraph-store-2                  Successfully pulled image "hugegraph/store:latest" in 867ms (867ms including waiting). Image size: 397172146 bytes.
11m         Normal    Pulled      pod/hugegraph-store-1                  Successfully pulled image "hugegraph/store:latest" in 657ms (657ms including waiting). Image size: 397172146 bytes.
10m         Normal    Pulled      pod/hugegraph-store-2                  Successfully pulled image "hugegraph/store:latest" in 1.126s (1.126s including waiting). Image size: 397172146 bytes.
9m28s       Normal    Pulled      pod/hugegraph-store-1                  Successfully pulled image "hugegraph/store:latest" in 1.322s (1.322s including waiting). Image size: 397172146 bytes.
8m42s       Normal    Pulled      pod/hugegraph-store-2                  Successfully pulled image "hugegraph/store:latest" in 644ms (644ms including waiting). Image size: 397172146 bytes.
7m45s       Normal    Pulled      pod/hugegraph-store-1                  Successfully pulled image "hugegraph/store:latest" in 658ms (658ms including waiting). Image size: 397172146 bytes.
6m50s       Normal    Pulled      pod/hugegraph-store-0                  Successfully pulled image "hugegraph/store:latest" in 656ms (656ms including waiting). Image size: 397172146 bytes.
6m42s       Normal    Pulled      pod/hugegraph-store-2                  Successfully pulled image "hugegraph/store:latest" in 669ms (669ms including waiting). Image size: 397172146 bytes.
6m33s       Warning   Unhealthy   pod/hugegraph-store-1                  Liveness probe failed: Get "http://10.42.0.68:8520/v1/health": EOF
6m33s       Warning   Unhealthy   pod/hugegraph-store-1                  Readiness probe failed: Get "http://10.42.0.68:8520/v1/health": EOF
5m47s       Normal    Pulled      pod/hugegraph-store-1                  Successfully pulled image "hugegraph/store:latest" in 655ms (655ms including waiting). Image size: 397172146 bytes.
5m23s       Warning   Unhealthy   pod/hugegraph-store-1                  Readiness probe failed: Get "http://10.42.0.68:8520/v1/health": read tcp 10.42.0.1:50028->10.42.0.68:8520: read: connection reset by peer
3m46s       Normal    Pulled      pod/hugegraph-store-1                  Successfully pulled image "hugegraph/store:latest" in 663ms (663ms including waiting). Image size: 397172146 bytes.
2m55s       Warning   BackOff     pod/hugegraph-store-0                  Back-off restarting failed container store in pod hugegraph-store-0_hugegraph(33431f58-bf45-4e33-9962-9ac7414cbe75)
118s        Normal    Pulled      pod/hugegraph-store-2                  Successfully pulled image "hugegraph/store:latest" in 653ms (653ms including waiting). Image size: 397172146 bytes.
118s        Normal    Pulling     pod/hugegraph-store-2                  Pulling image "hugegraph/store:latest"
116s        Normal    Started     pod/hugegraph-store-2                  Container started
116s        Normal    Created     pod/hugegraph-store-2                  Container created
114s        Warning   Unhealthy   pod/hugegraph-store-2                  Startup probe failed: Get "http://10.42.1.59:8520/v1/health": dial tcp 10.42.1.59:8520: connect: connection refused
111s        Warning   BackOff     pod/hugegraph-store-1                  Back-off restarting failed container store in pod hugegraph-store-1_hugegraph(48fac9a7-f994-468f-9224-09120426b2dd)
85s         Normal    Pulling     pod/hugegraph-store-0                  Pulling image "hugegraph/store:latest"
54s         Warning   BackOff     pod/hugegraph-store-2                  Back-off restarting failed container store in pod hugegraph-store-2_hugegraph(a9d3a178-90aa-4cbc-8f47-4b149fd33ed6)
31s         Normal    Pulling     pod/hugegraph-store-1                  Pulling image "hugegraph/store:latest"
30s         Normal    Pulled      pod/hugegraph-store-1                  Successfully pulled image "hugegraph/store:latest" in 660ms (660ms including waiting). Image size: 397172146 bytes.
29s         Normal    Started     pod/hugegraph-store-1                  Container started
29s         Normal    Created     pod/hugegraph-store-1                  Container created
24s         Warning   Unhealthy   pod/hugegraph-store-1                  Startup probe failed: Get "http://10.42.0.68:8520/v1/health": dial tcp 10.42.0.68:8520: connect: connection refused
17s         Warning   Unhealthy   pod/hugegraph-server-6769b4689-mprz7   Readiness probe failed: HTTP probe failed with statuscode: 503
8s          Warning   Unhealthy   pod/hugegraph-server-6769b4689-9bngc   Readiness probe failed: HTTP probe failed with statuscode: 503
6s          Warning   Unhealthy   pod/hugegraph-server-6769b4689-gxlcg   Readiness probe failed: HTTP probe failed with statuscode: 503
